Ranking,,Main,Secondary,Floaty,Neutral,Clutch,Stolidity,Aggression,Recency,Movement,Patience,Tech Consistency,Comprehension,Punish
1,Armada,Peach,Fox,2,9,10,10,5,10,10,10,10,10,10
2,Hungrybox,Jigglypuff,,2,9,10,10,5,8,10,10,10,10,10
3,Mango,Fox,Falco,0,8,7,8,8,9,9,5,9,10,10
4,Mew2King,Marth,Sheik,1,7,6,5,6,7,9,8,9,10,10
5,Leffen,Fox,,0,7,7,7,6,6,10,8,10,10,10
6,Plup,Sheik,Fox,1,8,7,8,6,10,10,8,10,10,9
7,SFAT,Fox,,0,6,6,6,7,8,8,5,9,9,9
8,Westballz,Falco,,0,6,6,6,6,7,7,6,9,8,9
9,Axe,Pikachu,,1,9,6,7,8,8,9,6,9,9,9
10,Shroomed,Sheik,Marth,1,6,6,,6,6,8,7,,8,9
11,Swedish Delight,Sheik,,1,6,,,6,5,7,7,,8,8
12,Wizzrobe,Falcon,,0,,,8,6,7,8,8,,9,9
13,Ice,Fox,,0,,6,,7,4,7,,9,8,8
14,PewPewU,Marth,,1,,,,6,5,7,,,8,8
15,Duck,Samus,,2,,,,6,4,6,,,,8
16,S2J,Falcon,,0,,7,9,8,5,7,5,,,8
17,Nintendude,Ice Climbers,,2,,,,6,4,6,8,,,8
18,n0ne,Falcon,,0,,7,9,9,4,7,5,9,,9
19,Lucky,Fox,,0,,5,6,7,7,7,6,,,9
20,Silent Wolf,Fox,,0,,,,7,0,6,,9,,8
21,The Moon,Marth,,1,,6,,7,9,7,,,,8
22,ChuDat,Ice Climbers,,2,8,8,8,6,8,7,10,9,,9
23,DruggedFox,Fox,Sheik,0,,,,7,7,8,,9,,9
24,Professor Pro,Fox,,0,,,,6,3,6,,8,,8
25,Colbol,Fox,Marth,0,,,,8,4,6,,8,,8
26,MacD,Peach,,2,,,,6,3,5,,,,7
27,dizzkidboogie,Ice Climbers,,2,,,,6,5,6,,,,8
28,MikeHaze,Fox,,0,,,,7,5,6,,,,7
29,KirbyKaze,Sheik,,1,,,,6,7,6,,,,7
30,Wobbles,Ice Climbers,,2,,,,7,2,5,,,,7
31,Zhu,Falco,,0,,,,6,3,5,,,,7
32,aMSa,Yoshi,,1,,,,7,6,6,,,,7
33,Laudandus,Sheik,,1,,,,6,4,5,,,,7
34,KJH,Fox,,0,,,,6,4,5,,,,6
35,Gahtzu,Falcon,,0,,,,5,4,5,,,,6
36,Chillin,Fox,,0,,,,8,4,4,,,,6
37,Javi,Fox,,0,,,,8,2,5,,,,6
38,HugS,Samus,,2,,,,6,5,5,,,,6
39,Bladewise,Peach,,2,,,,6,,4,,,,5
40,Abate,Luigi,,2,,,,7,,5,,,,6
41,Gravy,Falcon,,0,,,,6,,4,,,,6
42,Prince Abu,Jigglypuff,,2,,,,5,,4,,,,5
43,Santiago,Falco,Sheik,0,,,,7,,,,,,5
44,Trif,Peach,,2,,,,,,,,,,6
45,Captain Faceroll,Sheik,,1,,,,,,,,,,5
46,Connor,Fox,,0,,,,,,,,,,
47,Infinite Numbers,Ice Climbers,,,,,,,,,,,,
48,Ryan Ford,Fox,,,,,,,,,,,,
49,Crush,Fox,,,,,,,,,,,,
50,Mafia,Peach,,,,,,,,,,,,
51,Slox,Fox,,,,,,,,,,,,
52,Rudolph,Marth,,,,,,,,,,,,
53,OverTriforce,Sheik,,,,,,,,,,,,
54,lloD,Peach,,,,,,,,,,,,
55,Kels,Fox,,,,,,,,,,,,
58,Amsah,Sheik,,,,,,,,,,,,
60,Cactuar,Marth,,,,,,,,,,,,
61,Zgetto,Fox,,,,,,,,,,,,
62,Rishi,Marth,,,,,,,,,,,,
63,Android,Sheik,,,,,,,,,,,,
64,Captain Smuckers,Falcon,,,,,,,,,,,,
65,DJ Nintendo,Fox,,,,,,,,,,,,
66,Zain,Marth,,,,,,,,,,,,
67,Syrox,Fox,,,,,,,,,,,,
69,Squid,Falco,,,,,,,,,,,,
76,Ka-Master,Luigi,,,,,,,,,,,,
89,Medz,Fox,Marth,,,,,,,,,,,
101,ARMY,Ice Climbers,,,,,,,,,,,,
