2016 Rank,,Armada,Hungrybox,Mango,Mew2King,Leffen,Plup,SFAT,Westballz,Axe,Shroomed,Swedish Delight,Wizzrobe,Ice,PewPewU,Duck,S2J,Nintendude,n0ne,Lucky,Silent Wolf,The Moon,ChuDat,DruggedFox,Professor Pro,Colbol,MacD,dizzkidboogie,MikeHaze,KirbyKaze,Wobbles,Zhu,aMSa,Laudandus,KJH,Gahtzu,Chillin,Javi,HugS,Bladewise,Abate,Gravy,Prince Abu,Santiago,Trif,Captain Faceroll,Connor,Infinite Numbers,Ryan Ford,Crush,Mafia,Slox,Rudolph,OverTriforce,lloD,Kels,Amsah,Cactuar,Zgetto,Rishi,Android,Captain Smuckers,DJ Nintendo,Zain,Syrox,Squid,Ka-Master,Medz,ARMY,SET COUNT VS. ALL,SET COUNT VS. >26,SET COUNT VS. 11-25,SET COUNT VS. 6-10,SET COUNT VS. 1-5
1,Armada,X,3-1,3-2,1-0,5-1,,,2-0,,1-0,,,1-0,,2-0,1-0,,,,,,3-0,1-0,1-0,,,1-0,,,,,,,2-0,,,,1-0,,,,,,1-0,,,1-0,,,,,,,,,4-0,,1-0,,,,1-0,,,,,,,36 - 4,12 - 0,9 - 0,3 - 0,12 - 4
2,Hungrybox,1-3,X,1-3,5-5,4-3,10-2,1-1,4-0,1-0,1-0,3-0,3-2,,2-0,4-0,2-0,,2-0,4-1,,1-0,3-0,2-0,2-0,11-0,,2-0,,1-0,,,,,1-0,3-0,,,3-0,1-0,1-0,2-0,1-0,,1-0,,,,,,,1-0,,,,,,,,,,2-0,,,1-0,,,,1-0,88 - 20,21 - 0,39 - 3,17 - 3,11 - 14
3,Mango,2-3,3-1,X,1-1,2-1,0-1,1-0,,0-2,1-0,,2-0,2-0,1-0,1-0,,,,1-0,,1-0,0-3,1-0,,,,,1-0,1-0,,,,,,,,,1-0,,,,,,,,,,,,1-0,,,,, 0-1*,,,,,,,,,,,,,,23 - 13, 4 - 1*,9 - 3,2 - 3,8 - 6
4,Mew2King,0-1,5-5,1-1,X,1-1,4-0,3-2,2-0,2-1,1-0,,3-1,,2-0,,2-0,,0-1,,,2-0,1-3,,,5-0,1-0,,2-0,1-0,,1-0,1-0,,2-0,2-0,,,1-0,,,1-0,,,,,,,1-0,,,,,,,,,,,,,,,,,1-0,,,,48 - 16,14 - 0,15 - 5,12 - 3,7 - 8
5,Leffen,1-5,3-4,1-2,1-1,X,1-1, 2-1*,1-0,3-0,2-0,,,2-0,1-0,1-1,,,2-0,,,2-0,1-0,1-1,1-0,,1-0,,,2-0,,,,,,,,,1-0,,,,,,,,,1-0,,2-0,,,,1-0,,,2-0,,,,1-0,,,0-1,,,,,,37 - 17,11 - 1,11 - 2,9 - 2,6 - 12
6,Plup,,2-10,1-0,0-4,1-1,X,2-1,3-0,1-0,0-2, 0-1*,2-0,,1-0,2-0,2-0,2-0,1-0,,,,1-0,1-0,,16-0,,1-0,,,,,,,,5-0,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,1-0,,,,,1-0,47 - 19,9 - 0,28 - 1,6 - 3,4 - 15
7,SFAT,,1-1,0-1,2-3, 1-2*,1-2,X,2-4,5-2,2-0,2-0,0-3,1-1,4-1,1-1,4-2,2-0,1-0,7-6,,2-1,0-1,1-3,1-0,,5-1,4-2,0-1,,,,,1-0,,,1-0,,1-1,,,,1-0,,,1-1*,,,,,1-0,0-1,,,,,,0-1,,,1-0,,,1-0,4-1,3-0,,,6-0,68 - 43,30 - 9,24 - 19,10 - 8,4 - 7
8,Westballz,0-2,0-4,,0-2,0-1,0-3,4-2,X,,,,1-0,1-0,1-0,1-0,6-2,1-0,2-1,4-4,,0-1,,0-2,,1-0,1-0,,4-6,,,,,,2-0,1-0,,,7-4,,,,,,1-0,2-1,1-0,0-1,2-0,,,,,,,1-0,,,,1-0,,,1-0,,1-1,4-0,,1-0,5-1,57 - 38,35 - 14,18 - 10,4 - 5,0 - 9
9,Axe,,0-1,2-0,1-2,0-3,0-1,2-5,,X,4-0,1-2,,1-0,,2-3,2-0,,,1-0,,2-0,0-1,0-1,,1-0,,,,,,,,,1-0,1-0,,,1-0,1-0,,,1-0,1-0,,,,,,1-0,,,,,1-0,1-0,,,,,0-1,1-0,,,,,,4-2,,31 - 22,14 - 3,10 - 7,4 - 6,3 - 6
10,Shroomed,0-1,0-1,0-1,0-1,0-2,2-0,0-2,,0-4,X,0-1,,,1-1,1-1,2-1,1-0,,,,1-1,1-1,,,0-1,,,,,,,,,,,1-0,,1-0,,1-0,,,,,1-0,,,,,1-0,,,,,1-0,,,,,,1-0,,,0-1,,,2-0,,18 - 20,9 - 1,7 - 7,2 - 6,0 - 6
